Timestamp,10.04.2023:13:04:14,,,,
Scans in Average,6,,,,
Termination,10000,,,,
V_RMS(V),0.553909913,,,,
V_DC (V),0.546626599,,,,
RMS_Noise %,18.40850752,,,,
Frequency (Hz), Mag^2 (V^2 / Hz), PSD (dBV^2 / Hz), RIN (dBc / Hz), Integrated Volts RMS, Integrated RIN (%RMS) 
1305.342,2.24E-12,-116.5016556,-111.2000122,0.09998061,18.40762712
1311.302,1.53E-10,-98.16608429,-92.86444092,0.099980612,18.40762755
1317.263,2.38E-09,-86.22550964,-80.92386627,0.09998065,18.40763451
1323.223,1.81E-09,-87.41571808,-82.11407471,0.099980713,18.40764603
1329.184,4.17E-11,-103.7940903,-98.4924469,0.09998074,18.40765112
1335.144,1.41E-12,-118.518013,-113.2163773,0.099980741,18.40765124
1341.104,1.14E-12,-119.449646,-114.1480103,0.099980741,18.40765125
1347.065,1.73E-12,-117.6151123,-112.3134766,0.099980741,18.40765125
1353.025,5.75E-13,-122.4025421,-117.1009064,0.099980741,18.40765126
1358.986,4.01E-13,-123.9719467,-118.6703033,0.099980741,18.40765126
1364.946,3.57E-13,-124.4790421,-119.1773987,0.099980741,18.40765126
1370.907,2.58E-13,-125.8915634,-120.58992,0.099980741,18.40765127
1376.867,4.16E-13,-123.80793,-118.5062866,0.099980741,18.40765127
1382.828,4.69E-13,-123.285141,-117.9834976,0.099980741,18.40765127
1388.788,5.26E-13,-122.7895737,-117.4879303,0.099980741,18.40765127
1394.749,6.52E-13,-121.8604507,-116.5588074,0.099980741,18.40765128
1400.709,5.91E-13,-122.2868195,-116.9851837,0.099980741,18.40765128
1406.67,3.01E-13,-125.2190628,-119.9174194,0.099980741,18.40765128
1412.63,4.93E-13,-123.074852,-117.7732086,0.099980741,18.40765128
1418.591,3.16E-13,-125.0014954,-119.699852,0.099980741,18.40765129
1424.551,1.46E-13,-128.3661041,-123.0644684,0.099980741,18.40765129
1430.511,7.69E-13,-121.14048,-115.8388367,0.099980741,18.40765129
1436.472,1.10E-11,-109.6029968,-104.3013611,0.099980741,18.40765132
1442.432,1.13E-11,-109.4658508,-104.1642075,0.099980742,18.40765138
1448.393,7.53E-13,-121.2341766,-115.9325333,0.099980742,18.40765142
1454.353,1.99E-13,-127.0129242,-121.7112885,0.099980742,18.40765142
1460.314,4.98E-13,-123.0266418,-117.7250061,0.099980742,18.40765142
1466.274,6.95E-13,-121.5820084,-116.280365,0.099980742,18.40765142
1472.235,2.43E-13,-126.1490097,-120.8473663,0.099980742,18.40765143
1478.195,2.76E-13,-125.5964508,-120.2948151,0.099980742,18.40765143
1484.156,1.94E-13,-127.1142044,-121.812561,0.099980742,18.40765143
1490.116,1.28E-13,-128.9321594,-123.6305161,0.099980742,18.40765143
1496.077,4.87E-13,-123.1260071,-117.8243637,0.099980742,18.40765143
1502.037,2.49E-12,-116.0329742,-110.7313309,0.099980742,18.40765144
1507.998,5.53E-12,-112.5764771,-107.2748337,0.099980742,18.40765146
1513.958,7.83E-12,-111.0614243,-105.7597809,0.099980742,18.4076515
1519.918,7.21E-12,-111.4202576,-106.1186142,0.099980742,18.40765154
1525.879,2.28E-12,-116.4143143,-111.1126709,0.099980743,18.40765157
1531.839,3.68E-13,-124.3414917,-119.0398483,0.099980743,18.40765157
1537.8,3.16E-13,-124.9969788,-119.695343,0.099980743,18.40765158
1543.76,5.23E-13,-122.8158722,-117.5142288,0.099980743,18.40765158
1549.721,1.20E-11,-109.1954498,-103.8938065,0.099980743,18.40765161
1555.681,6.90E-10,-91.6131897,-86.31155396,0.099980753,18.40765354
1561.642,1.04E-09,-89.82529449,-84.52365112,0.099980779,18.40765829
1567.602,8.07E-11,-100.9337921,-95.63214874,0.099980796,18.40766137
1573.563,1.21E-12,-119.1654129,-113.8637772,0.099980797,18.40766159
1579.523,2.26E-13,-126.4530869,-121.1514435,0.099980797,18.40766159
1585.484,3.46E-13,-124.6133881,-119.3117447,0.099980797,18.4076616
1591.444,2.25E-13,-126.4711227,-121.169487,0.099980797,18.4076616
1597.405,1.34E-13,-128.7333069,-123.4316635,0.099980797,18.4076616
1603.365,1.66E-13,-127.8102341,-122.5085983,0.099980797,18.4076616
1609.325,1.52E-13,-128.1724854,-122.870842,0.099980797,18.4076616
1615.286,2.78E-13,-125.556221,-120.2545776,0.099980797,18.4076616
1621.246,8.53E-13,-120.6886902,-115.3870468,0.099980797,18.4076616
1627.207,2.12E-12,-116.7291489,-111.4275055,0.099980797,18.40766161
1633.167,3.86E-12,-114.1347046,-108.8330688,0.099980797,18.40766163
1639.128,4.22E-12,-113.7463989,-108.4447556,0.099980797,18.40766165
1645.088,1.74E-12,-117.5883026,-112.2866592,0.099980797,18.40766167
1651.049,9.10E-13,-120.4088745,-115.1072388,0.099980797,18.40766167
1657.009,5.87E-13,-122.3129044,-117.011261,0.099980798,18.40766168
1662.97,1.12E-13,-129.504837,-124.2031937,0.099980798,18.40766168
1668.93,1.38E-12,-118.5901337,-113.2884979,0.099980798,18.40766168
1674.891,1.71E-10,-97.66451263,-92.36286926,0.0999808,18.40766216
1680.851,3.60E-10,-94.43212891,-89.13049316,0.099980808,18.40766362
1686.811,4.43E-11,-103.5375366,-98.23589325,0.099980814,18.40766473
1692.772,3.45E-13,-124.6172867,-119.3156509,0.099980815,18.40766485
1698.732,2.16E-13,-126.6595612,-121.3579178,0.099980815,18.40766485
1704.693,4.59E-13,-123.3807678,-118.0791321,0.099980815,18.40766485
1710.653,1.65E-13,-127.8374023,-122.535759,0.099980815,18.40766485
1716.614,1.97E-13,-127.0646286,-121.7629852,0.099980815,18.40766486
1722.574,1.83E-13,-127.3791733,-122.0775299,0.099980815,18.40766486
1728.535,1.52E-13,-128.1906281,-122.8889847,0.099980815,18.40766486
1734.495,2.26E-13,-126.46772,-121.1660843,0.099980815,18.40766486
1740.456,3.89E-13,-124.0991898,-118.7975464,0.099980815,18.40766486
1746.416,5.50E-13,-122.5965652,-117.2949219,0.099980815,18.40766486
1752.377,9.93E-13,-120.0292664,-114.727623,0.099980815,18.40766487
1758.337,1.88E-12,-117.2683487,-111.966713,0.099980815,18.40766488
1764.297,1.15E-12,-119.3743973,-114.0727539,0.099980815,18.40766488
1770.258,2.63E-13,-125.8027115,-120.5010681,0.099980815,18.40766489
